,OID_,Long,Lat,f_nf,rh,max15,hrs2,hrs72,gw,dtw,twi,elv,WGF6,AWDR,AWND,td_3l,td_3h,td_3av,datetime
116,14030,-76.299262,36.865871,0,0.007840362,0.007642547,0.008961061,1.506170988,2.803265333,2392.21,6.77923,2.00067,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00116
117,14222,-76.298182,36.854069,0,0.004673821,0.00449108,0.010394549,1.410606861,2.270670652,55.6777,18.0869,-0.9,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00117
118,14225,-76.273869,36.854424,0,0.003623432,0.003402593,0.010413023,1.349206209,2.930647373,1060.58,3.37751,1.73154,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00118
119,14332,-76.191896,36.846022,0,0.022832492,0.020384688,0.021639213,1.162871242,3.673004866,775.73,4.97851,7.98963,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00119
120,14474,-76.286798,36.967086,0,0.032181151,0.019525951,0.019817064,1.139922619,2.779451847,620.164,3.82799,1.2655,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00120
121,14951,-76.256555,36.906347,0,0.071314558,0.044296838,0.010216125,1.380850315,3.164466381,134.258,19.6809,3.05249,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00121
122,15219,-76.223054,36.884542,1,0.042028543,0.023113325,0.008974221,1.281093836,1.992013931,2542.69,4.01893,10.8874,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00122
123,15341,-76.193111,36.877229,0,0.068316475,0.034770012,0.017371347,1.229407191,2.98355341,977.721,3.80623,6.02502,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00123
124,15373,-76.285726,36.874886,0,0.029387524,0.02046825,0.008142455,1.440148115,3.440231562,1478.3,7.91483,2.33985,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00124
125,15389,-76.206759,36.874315,0,0.055083275,0.028513661,0.012183565,1.255529761,2.708735704,307.438,3.47204,3.43659,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00125
126,15424,-76.2871,36.871846,0,0.027731439,0.01947636,0.007745508,1.443201423,3.325319052,2315.79,9.93094,2.41917,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00126
127,15450,-76.291932,36.868845,0,0.026321199,0.019232849,0.007618205,1.467200041,3.104321718,4171.66,3.60121,2.77149,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00127
128,15476,-76.299262,36.865871,0,0.026204532,0.020442652,0.007972763,1.514011383,2.796683073,2392.21,6.77923,2.00067,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00128
129,15668,-76.298182,36.854069,0,0.01707489,0.011927599,0.004787615,1.4152807,2.255887508,55.6777,18.0869,-0.9,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00129
130,15671,-76.273869,36.854424,0,0.016330067,0.009732204,0.003762177,1.352829695,2.928899288,1060.58,3.37751,1.73154,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00130
131,15778,-76.191896,36.846022,0,0.141686052,0.070706263,0.023623995,1.185703635,3.667746305,775.73,4.97851,7.98963,9.865,223.533,4.942,0.991,2.054,1.687,2017-08-12 15:00:00131
132,15920,-76.286798,36.967086,0,0.006016563,0.006016563,0.000514859,1.185622811,2.735302448,620.164,3.82799,1.2655,8.746,33.437,6.342,-0.721,0.273,-0.388,2017-08-13 09:00:00132
133,16397,-76.256555,36.906347,0,0.000833401,0.000833401,0.000405752,1.462301135,3.096474648,134.258,19.6809,3.05249,8.746,33.437,6.342,-0.721,0.273,-0.388,2017-08-13 09:00:00133
134,16665,-76.223054,36.884542,0,0.002787616,0.002787616,0.003102204,1.336032152,1.91174984,2542.69,4.01893,10.8874,8.746,33.437,6.342,-0.721,0.273,-0.388,2017-08-13 09:00:00134
135,16787,-76.193111,36.877229,0,0.002046603,0.002046603,0.001794646,1.307684422,2.858893156,977.721,3.80623,6.02502,8.746,33.437,6.342,-0.721,0.273,-0.388,2017-08-13 09:00:00135
136,16819,-76.285726,36.874886,0,0.004850508,0.004850508,0.001212124,1.475891232,3.121265888,1478.3,7.91483,2.33985,8.746,33.437,6.342,-0.721,0.273,-0.388,2017-08-13 09:00:00136
137,16835,-76.206759,36.874315,0,0.002730489,0.002730489,0.002824367,1.322808504,2.595324755,307.438,3.47204,3.43659,8.746,33.437,6.342,-0.721,0.273,-0.388,2017-08-13 09:00:00137
138,16870,-76.2871,36.871846,0,0.004764149,0.004764149,0.001155237,1.47684586,3.053156376,2315.79,9.93094,2.41917,8.746,33.437,6.342,-0.721,0.273,-0.388,2017-08-13 09:00:00138
